Bplus,Decay ID
B^{+}\rightarrow 1 \: Daughters,1
B^{+}\rightarrow 2 \: Daughters,2
B^{+}\rightarrow 3 \: Daughters,3
B^{+}\rightarrow 4 \: Daughters,4
B^{+}\rightarrow 5 \: Daughters,5
B^{+}\rightarrow 6 \: Daughters,6
B^{+}\rightarrow 7 \: Daughters,7
B^{+}\rightarrow 8 \: Daughters,8
B^{+}\rightarrow 9 \: Daughters,9
B^{+}\rightarrow 10 \: Daughters,10
B^{+}\rightarrow 11 \: Daughters,11
B^{+}\rightarrow 12 \: Daughters,12
B^{+}\rightarrow 13 \: Daughters,13
B^{+}\rightarrow 14 \: Daughters,14
B^{+}\rightarrow 15 \: Daughters,15
B^{+}\rightarrow 16 \: Daughters,16
B^{+}\rightarrow 17 \: Daughters,17
B^{+}\rightarrow 18 \: Daughters,18
B^{+}\rightarrow 19 \: Daughters,19
B^{+}\rightarrow 20 \: Daughters,20
B^{+}\rightarrow 21 \: Daughters,21
B^{+}\rightarrow 22 \: Daughters,22
B^{+}\rightarrow 23 \: Daughters,23
B^{+}\rightarrow 24 \: Daughters,24
B^{+}\rightarrow 25 \: Daughters,25
B^{+}\rightarrow 26 \: Daughters,26
B^{+}\rightarrow 27 \: Daughters,27
B^{+}\rightarrow 28 \: Daughters,28
B^{+}\rightarrow 29 \: Daughters,29
B^{+}\rightarrow 30 \: Daughters,30
-99:\:Particle\:Not\:Found,99
B^{+}\rightarrow \bar{D}^{*0} e^{+} \nu_{e},1001
B^{+}\rightarrow \bar{D}^{0} e^{+} \nu_{e},1002
B^{+}\rightarrow \bar{D}_{1}^{0} e^{+} \nu_{e},1003
B^{+}\rightarrow \bar{D}_{0}^{*0} e^{+} \nu_{e},1004
B^{+}\rightarrow \bar{{D^{\prime}}}_{1}^{0} e^{+} \nu_{e},1005
B^{+}\rightarrow \bar{D}_{2}^{*0} e^{+} \nu_{e},1006
B^{+}\rightarrow D^{*-} \pi^{+} e^{+} \nu_{e},1007
B^{+}\rightarrow \bar{D}^{*0} \pi^{0} e^{+} \nu_{e},1008
B^{+}\rightarrow D^{-} \pi^{+} e^{+} \nu_{e},1009
B^{+}\rightarrow \bar{D}^{0} \pi^{0} e^{+} \nu_{e},1010
B^{+}\rightarrow \bar{D}^{0} \pi^{+} \pi^{-} e^{+} \nu_{e},1011
B^{+}\rightarrow D^{-} \pi^{+} \pi^{0} e^{+} \nu_{e},1012
B^{+}\rightarrow \bar{D}^{0} \pi^{0} \pi^{0} e^{+} \nu_{e},1013
B^{+}\rightarrow \bar{D}^{*0} \pi^{+} \pi^{-} e^{+} \nu_{e},1014
B^{+}\rightarrow D^{*-} \pi^{+} \pi^{0} e^{+} \nu_{e},1015
B^{+}\rightarrow \bar{D}^{*0} \pi^{0} \pi^{0} e^{+} \nu_{e},1016
B^{+}\rightarrow D_{s}^{*-} K^{+} e^{+} \nu_{e},1017
B^{+}\rightarrow D_{s}^{-} K^{+} e^{+} \nu_{e},1018
B^{+}\rightarrow \bar{D}^{0} \eta e^{+} \nu_{e},1019
B^{+}\rightarrow \bar{D}^{*0} \eta e^{+} \nu_{e},1020
B^{+}\rightarrow \bar{D}^{*0} \mu^{+} \nu_{\mu},1021
B^{+}\rightarrow \bar{D}^{0} \mu^{+} \nu_{\mu},1022
B^{+}\rightarrow \bar{D}_{1}^{0} \mu^{+} \nu_{\mu},1023
B^{+}\rightarrow \bar{D}_{0}^{*0} \mu^{+} \nu_{\mu},1024
B^{+}\rightarrow \bar{{D^{\prime}}}_{1}^{0} \mu^{+} \nu_{\mu},1025
B^{+}\rightarrow \bar{D}_{2}^{*0} \mu^{+} \nu_{\mu},1026
B^{+}\rightarrow D^{*-} \pi^{+} \mu^{+} \nu_{\mu},1027
B^{+}\rightarrow \bar{D}^{*0} \pi^{0} \mu^{+} \nu_{\mu},1028
B^{+}\rightarrow D^{-} \pi^{+} \mu^{+} \nu_{\mu},1029
B^{+}\rightarrow \bar{D}^{0} \pi^{0} \mu^{+} \nu_{\mu},1030
B^{+}\rightarrow \bar{D}^{0} \pi^{+} \pi^{-} \mu^{+} \nu_{\mu},1031
B^{+}\rightarrow D^{-} \pi^{+} \pi^{0} \mu^{+} \nu_{\mu},1032
B^{+}\rightarrow \bar{D}^{0} \pi^{0} \pi^{0} \mu^{+} \nu_{\mu},1033
B^{+}\rightarrow \bar{D}^{*0} \pi^{+} \pi^{-} \mu^{+} \nu_{\mu},1034
B^{+}\rightarrow D^{*-} \pi^{+} \pi^{0} \mu^{+} \nu_{\mu},1035
B^{+}\rightarrow \bar{D}^{*0} \pi^{0} \pi^{0} \mu^{+} \nu_{\mu},1036
B^{+}\rightarrow D_{s}^{*-} K^{+} \mu^{+} \nu_{\mu},1037
B^{+}\rightarrow D_{s}^{-} K^{+} \mu^{+} \nu_{\mu},1038
B^{+}\rightarrow \bar{D}^{0} \eta \mu^{+} \nu_{\mu},1039
B^{+}\rightarrow \bar{D}^{*0} \eta \mu^{+} \nu_{\mu},1040
B^{+}\rightarrow \bar{D}^{*0} \tau^{+} \nu_{\tau},1041
B^{+}\rightarrow \bar{D}^{0} \tau^{+} \nu_{\tau},1042
B^{+}\rightarrow \bar{D}_{1}^{0} \tau^{+} \nu_{\tau},1043
B^{+}\rightarrow \bar{D}_{0}^{*0} \tau^{+} \nu_{\tau},1044
B^{+}\rightarrow \bar{{D^{\prime}}}_{1}^{0} \tau^{+} \nu_{\tau},1045
B^{+}\rightarrow \bar{D}_{2}^{*0} \tau^{+} \nu_{\tau},1046
B^{+}\rightarrow \pi^{0} e^{+} \nu_{e},1047
B^{+}\rightarrow \eta e^{+} \nu_{e},1048
B^{+}\rightarrow \rho^{0} e^{+} \nu_{e},1049
B^{+}\rightarrow \omega e^{+} \nu_{e},1050
B^{+}\rightarrow {\eta^{\prime}} e^{+} \nu_{e},1051
B^{+}\rightarrow \bar{D}(2S)^{0} e^{+} \nu_{e},1052
B^{+}\rightarrow \bar{D}^{*}(2S)^{0} e^{+} \nu_{e},1053
B^{+}\rightarrow Xu^{0} e^{+} \nu_{e},1054
B^{+}\rightarrow \pi^{0} \mu^{+} \nu_{\mu},1055
B^{+}\rightarrow \eta \mu^{+} \nu_{\mu},1056
B^{+}\rightarrow \rho^{0} \mu^{+} \nu_{\mu},1057
B^{+}\rightarrow \omega \mu^{+} \nu_{\mu},1058
B^{+}\rightarrow {\eta^{\prime}} \mu^{+} \nu_{\mu},1059
B^{+}\rightarrow \bar{D}(2S)^{0} \mu^{+} \nu_{\mu},1060
B^{+}\rightarrow \bar{D}^{*}(2S)^{0} \mu^{+} \nu_{\mu},1061
B^{+}\rightarrow Xu^{0} \mu^{+} \nu_{\mu},1062
B^{+}\rightarrow \pi^{0} \tau^{+} \nu_{\tau},1063
B^{+}\rightarrow \eta \tau^{+} \nu_{\tau},1064
B^{+}\rightarrow \rho^{0} \tau^{+} \nu_{\tau},1065
B^{+}\rightarrow \omega \tau^{+} \nu_{\tau},1066
B^{+}\rightarrow {\eta^{\prime}} \tau^{+} \nu_{\tau},1067
